Name,Longitude,Latitude,Ellipsoidal height,Orthometric Height ITG2009,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
Prima fila ombrelloni estiva,8.24761701,44.11409329,47.284,1.901,Global,58,0.016,0.016,0.017,0.023,1.934,m,FIX,RTK,2026-05-12 15:20:03.4 UTC+02:00,2026-05-12 15:20:03.4 UTC+02:00,1,1.4,1.6,,,,8.17005598,43.95796033,267.691,18430.531,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
Strutture fisse,8.24709599,44.11430467,47.928,2.545,Global,58,0.016,0.016,0.019,0.023,1.934,m,FIX,RTK,2026-05-12 15:21:54.2 UTC+02:00,2026-05-12 15:21:54.2 UTC+02:00,1,1.6,2,,,,8.17005598,43.95796033,267.691,18438.499,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
