Name,Longitude,Latitude,Ellipsoidal height,Orthometric Height ITG2009,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
transetto 76,8.2472408,44.11424329,47.831,2.448,Global,65,0.016,0.016,0.016,0.022,1.934,m,FIX,RTK,2026-05-12 15:21:24.0 UTC+02:00,2026-05-12 15:21:24.0 UTC+02:00,1,1.5,1.7,,,,8.17005598,43.95796033,267.691,18436.006,CMEL00ITA0,SC globale,8,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 77,8.24723578,44.11424599,47.839,2.456,Global,48,0.015,0.015,0.016,0.022,1.934,m,FIX,RTK,2026-05-12 15:21:25.4 UTC+02:00,2026-05-12 15:21:25.4 UTC+02:00,1,1.5,1.7,,,,8.17005598,43.95796033,267.691,18436.142,CMEL00ITA0,SC globale,7,7,7,8,0,Reach RS3,82432F7080A04F72
transetto 78,8.24722806,44.11424926,47.839,2.456,Global,53,0.015,0.015,0.016,0.021,1.934,m,FIX,RTK,2026-05-12 15:21:27.0 UTC+02:00,2026-05-12 15:21:27.0 UTC+02:00,1,1.5,1.7,,,,8.17005598,43.95796033,267.691,18436.286,CMEL00ITA0,SC globale,7,6,8,8,0,Reach RS3,82432F7080A04F72
transetto 79,8.24722078,44.11425183,47.848,2.465,Global,59,0.015,0.015,0.016,0.021,1.934,m,FIX,RTK,2026-05-12 15:21:28.6 UTC+02:00,2026-05-12 15:21:28.6 UTC+02:00,1,1.5,1.7,,,,8.17005598,43.95796033,267.691,18436.406,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 80,8.24721361,44.1142543,47.824,2.441,Global,61,0.017,0.017,0.017,0.023,1.934,m,FIX,RTK,2026-05-12 15:21:30.2 UTC+02:00,2026-05-12 15:21:30.2 UTC+02:00,1,1.5,1.7,,,,8.17005598,43.95796033,267.691,18436.44,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 81,8.24720267,44.11425963,47.862,2.479,Global,68,0.016,0.016,0.017,0.022,1.934,m,FIX,RTK,2026-05-12 15:21:32.4 UTC+02:00,2026-05-12 15:21:32.4 UTC+02:00,1,1.5,1.7,,,,8.17005598,43.95796033,267.691,18436.667,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 82,8.24719587,44.11426212,47.852,2.469,Global,64,0.016,0.016,0.016,0.023,1.934,m,FIX,RTK,2026-05-12 15:21:34.2 UTC+02:00,2026-05-12 15:21:34.2 UTC+02:00,1,1.5,1.7,,,,8.17005598,43.95796033,267.691,18436.727,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 83,8.2471903,44.11426414,47.838,2.455,Global,66,0.016,0.016,0.016,0.022,1.934,m,FIX,RTK,2026-05-12 15:21:35.4 UTC+02:00,2026-05-12 15:21:35.4 UTC+02:00,1,1.5,1.7,,,,8.17005598,43.95796033,267.691,18436.786,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 84,8.24718341,44.11426706,47.829,2.446,Global,46,0.015,0.015,0.015,0.021,1.934,m,FIX,RTK,2026-05-12 15:21:37.0 UTC+02:00,2026-05-12 15:21:37.0 UTC+02:00,1,1.5,1.7,,,,8.17005598,43.95796033,267.691,18436.972,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 85,8.24717549,44.11427065,47.839,2.456,Global,62,0.016,0.016,0.017,0.023,1.934,m,FIX,RTK,2026-05-12 15:21:38.6 UTC+02:00,2026-05-12 15:21:38.6 UTC+02:00,1,1.5,1.7,,,,8.17005598,43.95796033,267.691,18437.134,CMEL00ITA0,SC globale,7,7,8,7,0,Reach RS3,82432F7080A04F72
transetto 86,8.24716924,44.11427372,47.834,2.451,Global,46,0.016,0.016,0.017,0.023,1.934,m,FIX,RTK,2026-05-12 15:21:40.0 UTC+02:00,2026-05-12 15:21:40.0 UTC+02:00,1,1.5,1.7,,,,8.17005598,43.95796033,267.691,18437.319,CMEL00ITA0,SC globale,7,7,8,7,0,Reach RS3,82432F7080A04F72
transetto 87,8.2471621,44.11427693,47.841,2.458,Global,44,0.015,0.015,0.016,0.022,1.934,m,FIX,RTK,2026-05-12 15:21:41.4 UTC+02:00,2026-05-12 15:21:41.4 UTC+02:00,1,1.5,1.7,,,,8.17005598,43.95796033,267.691,18437.456,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 88,8.24715321,44.11428044,47.843,2.46,Global,41,0.015,0.015,0.016,0.022,1.934,m,FIX,RTK,2026-05-12 15:21:43.0 UTC+02:00,2026-05-12 15:21:43.0 UTC+02:00,1,1.5,1.7,,,,8.17005598,43.95796033,267.691,18437.562,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 89,8.24714449,44.11428388,47.846,2.463,Global,59,0.016,0.016,0.018,0.023,1.934,m,FIX,RTK,2026-05-12 15:21:44.6 UTC+02:00,2026-05-12 15:21:44.6 UTC+02:00,1,1.6,2,,,,8.17005598,43.95796033,267.691,18437.669,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 90,8.24713732,44.1142879,47.873,2.49,Global,60,0.016,0.016,0.016,0.022,1.934,m,FIX,RTK,2026-05-12 15:21:46.2 UTC+02:00,2026-05-12 15:21:46.2 UTC+02:00,1,1.6,2,,,,8.17005598,43.95796033,267.691,18437.853,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 91,8.24712917,44.1142905,47.866,2.483,Global,49,0.015,0.015,0.016,0.022,1.934,m,FIX,RTK,2026-05-12 15:21:47.8 UTC+02:00,2026-05-12 15:21:47.8 UTC+02:00,1,1.5,1.7,,,,8.17005598,43.95796033,267.691,18437.97,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 92,8.24712118,44.11429368,47.886,2.503,Global,66,0.016,0.016,0.018,0.023,1.934,m,FIX,RTK,2026-05-12 15:21:49.2 UTC+02:00,2026-05-12 15:21:49.2 UTC+02:00,1,1.6,2,,,,8.17005598,43.95796033,267.691,18438.124,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 93,8.24711263,44.11429754,47.896,2.513,Global,50,0.016,0.016,0.017,0.023,1.934,m,FIX,RTK,2026-05-12 15:21:51.0 UTC+02:00,2026-05-12 15:21:51.0 UTC+02:00,1,1.6,2,,,,8.17005598,43.95796033,267.691,18438.283,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 94,8.24710465,44.11430153,47.909,2.526,Global,60,0.015,0.015,0.017,0.022,1.934,m,FIX,RTK,2026-05-12 15:21:52.6 UTC+02:00,2026-05-12 15:21:52.6 UTC+02:00,1,1.6,2,,,,8.17005598,43.95796033,267.691,18438.456,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
transetto 95,8.24709599,44.11430467,47.928,2.545,Global,58,0.016,0.016,0.019,0.023,1.934,m,FIX,RTK,2026-05-12 15:21:54.2 UTC+02:00,2026-05-12 15:21:54.2 UTC+02:00,1,1.6,2,,,,8.17005598,43.95796033,267.691,18438.499,CMEL00ITA0,SC globale,7,7,8,8,0,Reach RS3,82432F7080A04F72
